"Tahun","Minggu","Negeri","Daerah/Zon/PBT","Lokaliti","Jumlah Kes Terkumpul","Tempoh Wabak Berlaku (Hari)","latitude","longitude"
2015,1,"Selangor","Petaling","Du Ss 22 ( 2)",111,204,3.128331,101.618127
2015,1,"Selangor","Petaling","Seksyen 7 (Flat A : 81Ok 1 -
12, 81Ok 38 - 43)",83,158,3.074107,101.492219
2015,1,"Selangor","Petaling","Seksyen 7 (Pusat Komersial A : Jln Aa 7/Aa-Ac 7/Ac, T 7/T-Z7/Z)",199,144,3.074107,101.492219
2015,1,"Selangor","Petaling","Seksyen 7 ( Flat B : Blok 13-37)",34,131,3.074107,101.492219
2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 6",40,128,3.155076,101.593722
2015,1,"Selangor","Petaling","Jalan 3/A-R Seksyen 3
8Andar Sri Putra",65,122,3.089795,101.647281
2015,1,"Selangor","Hulu Langat","Bl Pju 10 Apt Permai",36,119,3.113117,101.815673
2015,1,"Selangor","Petaling","Usj 2/5",32,119,3.060047,101.584687
2015,1,"Selangor","Petaling","81 Pju 9 Sd 13 Apt Sri
Meranti 1 : 81Ok A - G",33,118,3.188612,101.604747
2015,1,"Selangor","Petaling","Appt Dahlia Court Pandan Lndah",28,114,3.13281,101.748025
2015,1,"Selangor","Hulu Langat","81 Pju 10 Saujana
Damansara (A) : Jln 10/13,
10/14",26,109,3.114994,101.811318
2015,1,"Selangor","Petaling","8Andar Kinrara 8K 6F ( P'Puri Enggang)",22,109,3.058404,101.636764
2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 5 Sepah
Puteri (Jin 5/1-5/19)",25,109,3.058405,101.636763
2015,1,"Selangor","Petaling","Taman Puchong Perdana
(Jin Mawar)",30,104,3.058406,101.636762
2015,1,"Selangor","Petaling","Kg Simpang 3",43,103,3.058407,101.636765
2015,1,"Selangor","Gombak","Batu 13 Kg Sri Aman(Lorang  Bestari)",40,100,3.058408,101.636767
2015,1,"Selangor","Petaling","Pusat Bandar Puchong  (Jinwawasan  2)",42,98,3.058409,101.636769
2015,1,"Selangor","Petaling","Sri Pjs 8 Mentari Court",47,97,3.113117,101.815683
2015,1,"Selangor","Petaling","Seksyen  U10 ( Alam
8Udiman : Jln U10/68 - U10/77B)",42,92,3.113118,101.815693
2015,1,"Selangor","Petaling","Seksyen  5 Bandar  Sri Putra",27,88,2.975147,101.783915
2015,1,"Selangor","Hulu Langat","Bl Pju 9 Sd 10",16,88,3.113117,101.815673
2015,1,"Selangor","Petaling","Bandar Kinrara 4 (Jl Bk 4/1 Sebahagian 4/2-4/4)",30,88,3.048069,101.639553
2015,1,"Selangor","Petaling","Bl Pju 10 Apt Harmoni 1 ( A,B,C,L,M,N,O,P,Q )",22,86,3.198303,101.599919
2015,1,"Selangor","Petaling","Bandar Kinrara 2",18,86,3.052035,101.643996
2015,1,"Selangor","Petaling","Seksyen U16 (Pangsapuri Kiambang : Blok 21-27)",24,83,3.128331,101.618127
2015,1,"Selangor","Petaling","Seksyen U5 (Pangsapuri Sri Bintang)",15,82,3.074107,101.492219
2015,1,"Selangor","Petaling","Bl Pju 8 Armanee Terrace Kondo",18,76,3.074107,101.492219
2015,1,"Selangor","Petaling","Pjs 9/1 (Lagoon Perdana & Rumah Kedai)",38,76,3.074107,101.492219
2015,1,"Selangor","Petaling","Seksyen U16 (Pangsapuri Melati : Blok 11-20)",19,69,3.155076,101.593722
2015,1,"Selangor","Hulu Langat","Appt Sri Tanjung Seksyen 7 Bandar Baru Bangi",28,68,3.089795,101.647281
2015,1,"Selangor","Petaling","Seksyen 7 (Flat C : Blok 44-51)",17,67,3.113117,101.815673
2015,1,"Selangor","Petaling","Seksyen U10 (Puncak Perdana : Uitm)",19,67,3.060047,101.584687
2015,1,"Selangor","Petaling","Seksyen U2 Teres C",20,67,3.188612,101.604747
2015,1,"Selangor","Petaling","Taman Lestari Putra 6",18,67,3.13281,101.748025
2015,1,"Selangor","Petaling","Taman Puncak Jalil 2 (Jln Puj 2/1 - 2/18)",18,67,3.114994,101.811318
2015,1,"Selangor","Hulu Langat","Seksyen 5 Bandar Rinching",43,66,3.058404,101.636764
2015,1,"Selangor","Petaling","Seksyen 6 ( Teres A : Jln 6/1A-6/1J)",18,66,3.058405,101.636763
2015,1,"Selangor","Petaling","Sri Pjs 6 Flat Desa Mentari 1 : Blok 1, 2, 3",16,66,3.058406,101.636762
2015,1,"Perak","Kinta","Kg Das Tambahan 2",46,65,3.058407,101.636765
2015,1,"Selangor","Petaling","Seksyen U5 (Subang Murni Teres B : Jln U5/151 - 162)",12,65,3.058408,101.636767
2015,1,"Selangor","Petaling","Sri Pjs 5 Flat Desa Ria",13,65,3.058409,101.636769
2015,1,"Selangor","Petaling","Seksyen 3 Shah Alam",9,64,3.113117,101.815683
2015,1,"Selangor","Petaling","Seksyen U10 ( Puncak Perdana Teres A : Jln U10/15 - U10/29 )",43,63,3.113118,101.815693
2015,1,"Selangor","Petaling","Du Ss 21 (3)",24,62,2.975147,101.783915
2015,1,"Selangor","Gombak","Appt Palma Bch",20,62,3.113117,101.815673
2015,1,"Selangor","Hulu Langat","Jalan 3/6 Seksyen 3 Bandar Baru Bangi",32,61,3.048069,101.639553
2015,1,"Selangor","Hulu Langat","Seksyen 3 Bandar Teknologi",13,62,3.198303,101.599919
2015,1,"Selangor","Petaling","Bl Pju 9 Sd 8",31,62,3.052035,101.643996
2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 7 Gugusan Kemboja",9,62,3.128331,101.618127
2015,1,"Selangor","Petaling","Kt Pju 1A Pprt A : Blok A,B,C",57,62,3.074107,101.492219
2015,1,"Selangor","Petaling","Ss 18/5, 6",10,62,3.074107,101.492219
2015,1,"Selangor","Petaling","Seksyen U16 (Denai Alam Teres L : Jln U16/81-U16/88)",22,61,3.074107,101.492219
2015,1,"Selangor","Petaling","Bl Pju 8 Apt Flora Damansara 1 ( Blok A, B )",13,61,3.155076,101.593722
2015,1,"Selangor","Petaling","Taman Lestari Putra 3",51,61,3.089795,101.647281
2015,1,"Selangor","Petaling","Taman Puncak Jalil 4A (Jln Puj 4/1-Puj 4/9)",31,60,3.113117,101.815673
2015,1,"Selangor","Petaling","Usj 8/2",11,60,3.060047,101.584687
2015,1,"Selangor","Petaling","Taman Pinggiran Putra 16 ( Putra Indah)",27,60,3.188612,101.604747
2015,1,"Perak","Kinta","Tmn Klebang Jaya 2",43,59,3.13281,101.748025
2015,1,"Selangor","Petaling","Seksyen 7 (Teres L : Jln 7/101-7/103",13,59,3.114994,101.811318
2015,1,"Selangor","Petaling","Sri Pjs 10 (Teeres B : Jln Pjs 10/2, 10/4, 10/7A-B, 10/6)",10,59,3.058404,101.636764
2015,1,"Selangor","Petaling","Tmn Pjs 3 Flat Sri Manja (Blok A-C : Jln Pjs 3/55)",23,59,3.058405,101.636763
2015,1,"Perak","Kinta","Medan Buntong Permai",16,58,3.058406,101.636762
2015,1,"Selangor","Petaling","Bl Pju 9 Sd 11",11,58,3.058407,101.636765
2015,1,"Selangor","Petaling","Dun Bg Seksyen 51A Flat Impian Baiduri",12,58,3.058408,101.636767
2015,1,"Selangor","Petaling","Usj 3/2",8,58,3.058409,101.636769
2015,1,"Selangor","Petaling","Tm Pjs 3 Tamn Sri Manja (Jln Sm)",14,57,3.113117,101.815683
2015,1,"Selangor","Petaling","Seksyen 26 Appt Anggerik",24,56,3.113118,101.815693
2015,1,"Selangor","Petaling","Ss 15/5 (Teres)",38,56,2.975147,101.783915
2015,1,"Perak","Kinta","Tmn Kledang Jaya",22,54,3.113117,101.815673
2015,1,"Selangor","Petaling","Upm Serdang Kolej 17",33,54,3.048069,101.639553
2015,1,"Perak","Kinta","Kg Tersusun Tawas Tambahan",21,53,3.198303,101.599919
2015,1,"Selangor","Gombak","Appt Desa 1",11,53,3.052035,101.643996
2015,1,"Selangor","Petaling","Seksyen U5 (Apartment Subang Suria)",17,52,3.058406,101.636762
2015,1,"Selangor","Petaling","Usj 15 ( Court 10 )",9,52,3.058407,101.636765
2015,1,"Perak","Kinta","Kg Merawan Indah",24,51,3.058408,101.636767
2015,1,"Perak","Kinta","Kg Baru Chenderong",11,51,3.058409,101.636769
2015,1,"Perak","Kinta","Kg Baru Buntong",26,51,3.113117,101.815683
2015,1,"Perak","Kinta","Kg Tengku Hussein Baru",27,51,3.113118,101.815693
2015,1,"Perak","Kinta","Rpt Jelapang Baru",29,51,2.975147,101.783915
2015,1,"Selangor","Petaling","Seksyen U5 (Mutiara Subang : Apartment)",15,51,3.113117,101.815673
2015,1,"Selangor","Petaling","Ss 17/1",13,51,3.048069,101.639553
2015,1,"Perak","Kinta","Bdr Pulai Jaya",14,50,3.198303,101.599919
2015,1,"Perak","Kinta","Tmn Kledang Emas",18,50,3.052035,101.643996
2015,1,"Selangor","Petaling","Seksyen U12 (Desa Alam Teres B : Jln U12/3-U12/8)",17,50,3.058406,101.636762
2015,1,"Selangor","Hulu Langat","Jalan 3/12-22 Seksyen 3 Bandar Baru Bangi",11,49,3.058407,101.636765
2015,1,"Perak","Kinta","Kg Baru Gunung Rapat",15,49,3.058408,101.636767
2015,1,"Perak","Kinta","Kg Tersusun Sg Pari",7,48,3.058409,101.636769
2015,1,"Perak","Kinta","Tmn Rapat Setia Baru",62,48,3.113117,101.815683
2015,1,"Selangor","Hulu Langat","Kondominium Tiara Duta Taman Putra Sulaiman",8,48,3.113118,101.815693
2015,1,"Selangor","Petaling","Bl Pju 6A Pangsapuri Puncak Ara",22,48,2.975147,101.783915
2015,1,"Selangor","Petaling","Taman Lestari Putra 1",10,48,3.113117,101.815673
2015,1,"Selangor","Petaling","Seksyen U6 (Subang Permai Teres A : Jln U6/1-U6/4)",5,48,3.048069,101.639553
2015,1,"Perak","Kinta","Tmn Pulai Jaya",15,47,3.198303,101.599919
2015,1,"Perak","Kinta","Kg Tersusun Sentang",12,47,3.052035,101.643996
2015,1,"Selangor","Hulu Langat","Kuis",8,47,3.058406,101.636762
2015,1,"Selangor","Petaling","Seksyen 7 (Pangsapuri Baiduri)",9,47,3.058407,101.636765
2015,1,"Selangor","Petaling","Bl Pju 6A Pelangi Utama Kondo",15,47,3.058408,101.636767
2015,1,"Selangor","Petaling","Tm Pjs 2B Flat Desa Mentari (Blok 9,10)",10,47,3.058409,101.636769
2015,1,"Selangor","Petaling","Taman Mutiara Indah 2",14,47,3.113117,101.815683
2015,1,"Selangor","Hulu Langat","Rumah Pangsa Taman Bukit Mewah",8,45,3.113118,101.815693
2015,1,"Selangor","Petaling","Seksyen 13 Teres C (Jalan 13/19-13/25)",20,45,2.975147,101.783915
2015,1,"Selangor","Petaling","Taman Puchong Perdana (Jln Teratai)",8,46,3.113117,101.815673
2015,1,"Selangor","K.Selangor","Cemara 5",10,44,3.048069,101.639553
2015,1,"Perak","Kinta","Tmn Chepor Jaya",20,44,3.198303,101.599919
2015,1,"Selangor","K.Selangor","Sri Pristana A",15,44,3.052035,101.643996
2015,1,"Selangor","Petaling","Seksyen 20 Flat Pkns A (Blok 1 - Blok 4)",16,44,3.058406,101.636762
2015,1,"Selangor","Petaling","Sri Pjs Flat Desa Mentari 2 : Blok 4,5,6",8,44,3.058407,101.636765
2015,1,"Selangor","Petaling","Ss 15/2, 3 (Teres)",24,44,3.058408,101.636767
2015,1,"Perak","Kinta","Tmn Merdeka",10,43,3.058409,101.636769
2015,1,"Selangor","Hulu Langat","Taman Sri Intan",10,43,3.113117,101.815683
2015,1,"Selangor","Hulu Selangor","Jalan Tulip ",15,43,3.113118,101.815693
2015,1,"Selangor","Petaling","Ss 18/4",10,43,2.975147,101.783915
2015,1,"P. Pinang","Timur Laut","Jalan Lim Eow Thoon",11,42,3.113117,101.815673
2015,1,"P. Pinang","Timur Laut","Taman Free School",8,42,3.048069,101.639553
2015,1,"Perak","Kinta","Kg Sg Tapah Tambahan",20,41,3.198303,101.599919
2015,1,"Selangor","Petaling","Seksyen U2 (Pangsapuri Ilham)",25,41,3.052035,101.643996
2015,1,"Selangor","Petaling","Bl Pju 6A Kg Sg Kayu Ara 4 (Jln Masjid )",16,41,3.128331,101.618127
2015,1,"Selangor","Hulu Langat","Jalan Bm 31-38 Taman Bukit Mewah",8,40,3.074107,101.492219
2015,1,"Selangor","Petaling","Taman Puchong Prima 2",4,40,3.074107,101.492219
2015,1,"Selangor","Petaling","Taman Sri Serdang 3 ( 18/30 -18/44 & 18/46)",11,40,3.074107,101.492219
2015,1,"Selangor","Petaling","Usj 6/2",6,40,3.155076,101.593722
2015,1,"Sarawak","Sibu","Lower Jalan Hua Kiew",12,40,3.089795,101.647281
2015,1,"Perak","Kinta","Tmn Ipoh Jaya",11,39,3.113117,101.815673
2015,1,"Selangor","Hulu Langat","Jalan Nirwana 24,35-46 Taman Nirwana",6,39,3.060047,101.584687
2015,1,"Selangor","Petaling","Kt Pju 1A Pprt B : Blok D,E,F",11,39,3.188612,101.604747
2015,1,"Selangor","Petaling","Sri Pjs 10 (Teres D : Jln Pjs 10/15, 15A, 10/18, 10/20. 10/22, 10/26A, 10/26C)",10,39,3.13281,101.748025
2015,1,"Selangor","Petaling","Bt 13 1/2 Koi Tropika",6,39,3.114994,101.811318
2015,1,"Selangor","Petaling","Taman Puncak Jalil 4 ( Casa Riana)",13,39,3.058404,101.636764
2015,1,"Selangor","Hulu Langat","Jalan 1-13 Taman Cheras Awana",4,38,3.058405,101.636763
2015,1,"Selangor","Hulu Langat","Jalan 12 Taman Cheras Jaya",6,38,3.058406,101.636762
2015,1,"Selangor","Hulu Langat","Taman Desa Serdang",5,38,3.058407,101.636765
2015,1,"Selangor","Hulu Selangor","Jalan Dahliasari Bsb",11,38,3.058408,101.636767
2015,1,"Selangor","Petaling","Seksyen 7 Shah Alam Teres A Zon A A (Jln 7/11-7/22)",8,38,3.058409,101.636769
2015,1,"Selangor","Petaling","Sri Ss 5C",7,38,3.113117,101.815683
2015,1,"Selangor","Petaling","Usj 2/4",5,38,3.113118,101.815693
2015,1,"Perak","Kinta","Rpt Pengkalan Pegoh",16,37,2.975147,101.783915
2015,1,"Perak","Kinta","Tmn Cempaka",17,37,3.113117,101.815673
2015,1,"Selangor","Hulu Langat","Jalan 3/13A-C Seksyen 3 Taman Kajang Utama",8,37,3.048069,101.639553
2015,1,"Selangor","Petaling","Seksyen 9 (Kondo Sri Mahligai)",11,37,3.198303,101.599919
2015,1,"Selangor","Petaling","Taman Kinrara 5 (Flat Taman Mawar",6,37,3.052035,101.643996
2015,1,"Selangor","Petaling","Taman Puchong Prima (Elina)",8,37,3.128331,101.618127
2015,1,"Perak","Kinta","Kg Sri Kinta",12,36,3.074107,101.492219
2015,1,"Selangor","Hulu Langat","Jalan 3/40-49 Seksyen 3 Bandar Baru Bangi",12,36,3.074107,101.492219
2015,1,"Selangor","Hulu Langat","Jalan Bm 6/D Bandar Bukit Mahkota",8,36,3.074107,101.492219
2015,1,"Selangor","Petaling","Ss 18/1",21,36,3.155076,101.593722
2015,1,"Perak","Kinta","Tmn Desa Aman",26,35,3.089795,101.647281
2015,1,"Perak","Kinta","Tmn Rishah",21,35,3.113117,101.815673
2015,1,"Selangor","Petaling","Bl Pju 6 Bu 7 (Teres A : Jln 7/1-7/10)",5,35,3.060047,101.584687
2015,1,"Selangor","Hulu Langat","Taman Koperasi Sungai Chua",6,34,3.188612,101.604747
2015,1,"Selangor","Petaling","Seksyen 13 Teres B",13,34,3.13281,101.748025
2015,1,"Selangor","Petaling","Seksyen 19 Flat 19/15A (Blok 1-5)",10,34,3.114994,101.811318
2015,1,"Selangor","Petaling","Bl Pju 9 Sd 13 Apt Sri Meranti 2 : Blok H,J,K,L,M,N,P,Q,R",15,34,3.058404,101.636764
2015,1,"Selangor","Petaling","Usj 8 (Subang Perdana Goodyear Court 5)",9,34,3.058405,101.636763
2015,1,"Selangor","Petaling","Tmn Puchong Permai 1 (Flat 38 Blok A)",19,34,3.058406,101.636762
2015,1,"Perak","Kinta","Kg Baru Jelapang",19,33,3.058407,101.636765
2015,1,"Perak","Kinta","Kg Temiang",11,33,3.058408,101.636767
2015,1,"Selangor","Petaling","Seksyen 8 Teres B (Jln 8/14- Jln 8/28)",12,33,3.058409,101.636769
2015,1,"Selangor","Petaling","Taman Puncak Jalil 1B (Jln Puj 1/10-1/18)",5,33,3.113117,101.815683
2015,1,"Johor","Johor Bharu","Tmn Nesa",5,33,3.113118,101.815693
2015,1,"Perak","Kinta","Kg Baru Kuala Kuang",18,32,2.975147,101.783915
2015,1,"Perak","Kinta","Tmn Perpaduan",13,32,3.113117,101.815673
2015,1,"Selangor","Petaling","Seksyen 7 ( Teres H : Jln 7/52-7/62)",4,32,3.048069,101.639553
2015,1,"Selangor","Petaling","Seksyen U5 (Mutiara Subang Kawasan Perindustrian A : Jln U5/11-U5/17)",8,32,3.198303,101.599919
2015,1,"Selangor","Petaling","Kt Pju 1A Pprt C : Blok G,H",6,32,3.052035,101.643996
2015,1,"Selangor","Petaling","Sri Ss 5B",5,32,3.128331,101.618127
2015,1,"Selangor","Petaling","Pjs 7/7,9,10",11,32,3.074107,101.492219
2015,1,"Selangor","Petaling","Taman Kinrara 5 (Teres Taman Mawar)",15,32,3.074107,101.492219
2015,1,"Selangor","Hulu Langat","Jalan Jujur 1/1-3 Taman Bakti",7,32,3.074107,101.492219
2015,1,"Selangor","Petaling","Pjs 9/2-Pjs 9/30",5,31,3.155076,101.593722
2015,1,"Perak","Kinta","Bandar Lahat Baru",10,31,3.089795,101.647281
2015,1,"Perak","Kinta","Desa Perwira",11,31,3.113117,101.815673
2015,1,"Perak","Kinta","K/B Pasir Pinji 2",7,31,3.060047,101.584687
2015,1,"Perak","Kinta","Tmn Pangkalan Barat",5,31,3.188612,101.604747
2015,1,"Selangor","Hulu Selangor","Apt Anggerik Tbr Bb",9,31,3.13281,101.748025
2015,1,"Selangor","Petaling","Seksyen U16 (Denai Alam Teres N : Jln U16/95-U16/96G)",6,31,3.114994,101.811318
2015,1,"Selangor","Petaling","Du Ss 23 (4)",5,31,3.058404,101.636764
2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 11",5,31,3.058405,101.636763
2015,2,"Selangor","Petaling","Du Ss 22 ( 2)",114,211,3.058406,101.636762
2015,2,"Selangor","Petaling","Seksyen 7 (Flat A : Blok 1 - 12, Blok 38 - 43)",85,165,3.058407,101.636765
2015,2,"Selangor","Petaling","Seksyen 7 (Pusat Komersial A: Jln Aa 7/Aa- Ac 7/Ac, T 7/T- Z 7/Z)",206,151,3.058408,101.636767
2015,2,"Selangor","Petaling","Seksyen 7 (Flat B : Blok 13 -37)",35,138,3.058409,101.636769
2015,2,"Selangor","Petaling","Kd Pju 5 Seksyen 6",41,135,3.113117,101.815683
2015,2,"Selangor","Hulu Langat","Jalan 3/A-R Seksyen 3 Bandar Sri Putra",70,129,3.113118,101.815693
2015,2,"Selangor","Petaling","Bl Pju 10 Apt Permai",39,126,2.975147,101.783915
2015,2,"Selangor","Petaling","Usj 2/5",34,126,3.113117,101.815673
2015,2,"Selangor","Petaling","Bl Pju 9 Sd 13 Apt Sri Meranti 1 : Blok A - G",36,125,3.048069,101.639553
2015,2,"Selangor","Petaling","Kd Pju 5 Seksyen 5 Sepah Puteri (Jin 5/1-5/19)",26,116,3.198303,101.599919
2015,2,"Selangor","Petaling","Bandar Kinrara Bk 6F (P'Puri) ",24,116,3.052035,101.643996
2015,2,"Selangor","Petaling","Taman Puchong Perdana (Jin Mawar)",34,111,3.058406,101.636762
2015,2,"Selangor","Gombak","Kg Simpang 3",45,110,3.058407,101.636765
2015,2,"Selangor","Petaling","Batu 13 Kg Sri Aman (Lorang Bestari)",42,107,3.058408,101.636767
2015,2,"Selangor","Petaling","Pusat Bandar Puchong (Jin Wawasan 2)",46,105,3.058409,101.636769
2015,2,"Selangor","Petaling","Sri Pjs 8 Mentari Court",49,104,3.113117,101.815683
2015,2,"Selangor","Petaling","Seksyen U10 ( Alam Budiman : Jln U10/68 - U10/77B L",44,99,3.113118,101.815693
2015,2,"Selangor","Hulu Langat","Seksyen 5 Bandar Sri Putra",28,95,2.975147,101.783915
2015,2,"Selangor","Petaling","Bl Pju 9 Sd 10",17,95,3.113117,101.815673
2015,2,"Selangor","Petaling","Bandar Kinrara 4 ( Jln Bk 4/1 Sebahagian 4/2-4/4 )",31,95,3.048069,101.639553
2015,2,"Selangor","Petaling","Bandar Kinrara 2",18,93,3.198303,101.599919
2015,2,"Selangor","Petaling","Seksyen U16 ( Pangsapuri Kiambang : Blok 21 - 27)",27,90,3.052035,101.643996
2015,2,"Selangor","Petaling","Seksyen U5 ( Pangsapuri Sri Bintang )",16,89,3.058406,101.636762
2015,2,"Selangor","Petaling","Bl Pju 8 Armanee Terrace Kondo",19,83,3.058407,101.636765
2015,2,"Selangor","Petaling","Pjs 9 /1(Lagoon Perdana & Rumah Kedai)",44,83,3.058408,101.636767
2015,2,"Selangor","Petaling","Seksyen U16 ( Pangsapuri Melati : Blok 11 - 20 )",20,76,3.058409,101.636769
2015,2,"Selangor","Hulu Langat","Appt Sri Tanjung Seksyen 7 Bandar Baru Bangi",29,75,3.113117,101.815683
2015,2,"Selangor","Petaling","Seksyen 7 (Flat C : Blok 44 -51)",18,74,3.113118,101.815693
2015,2,"Selangor","Petaling","Seksyen U10 ( Puncak Perdana : Uitm)",20,74,2.975147,101.783915
2015,2,"Selangor","Petaling","Seksyen U2 Teres C",23,74,3.113117,101.815673
2015,2,"Selangor","Petaling","Taman Lestari Putra 6",20,74,3.048069,101.639553
2015,2,"Selangor","Petaling","Taman Puncak Jalil 2 ( Jln Puj 2/1 - 2/18 )",22,74,3.198303,101.599919
2015,2,"Selangor","Hulu Langat","Seksyen 5 Bandar Rinching",52,73,3.052035,101.643996
2015,2,"Selangor","Petaling","Seksyen 6 (Teres A: Jln 6/1A- 6/1J)",19,73,3.058406,101.636762
2015,2,"Selangor","Petaling","Sri Pjs 6 Flat Desa Mentari 1 : Blok 1, 2, 3",19,73,3.058407,101.636765
2015,2,"Perak","Kinta","Kg Das Tambahan 2",49,72,3.058408,101.636767
2015,2,"Selangor","Petaling","Seksyen U5 ( Subang Murni Teres B : Jln U5/151 - 162)",12,72,3.058409,101.636769
2015,2,"Selangor","Petaling","Sri Pjs 5 Flat Desa Ria",13,72,3.113117,101.815683
2015,2,"Selangor","Petaling","Seksyen U10 ( Puncak Perdana Teres A: Jln U10/15- U10/29)",46,70,3.113118,101.815693
2015,2,"Selangor","Gombak","Appt Palma Bch",25,69,2.975147,101.783915
2015,2,"Selangor","Hulu Langat","Jalan 3/6 Seksyen 3 Bandar Baru Bangi",34,69,3.113117,101.815673
2015,2,"Selangor","Hulu Langat","Seksyen 3 Bandar Teknologi",14,69,3.048069,101.639553
2015,2,"Selangor","Petaling","Bl Pju 9 Sd 8",41,69,3.198303,101.599919
2015,2,"Selangor","Petaling","Kd Pju 5 Seksyen 7 Gugusan Kemboja",10,69,3.052035,101.643996
2015,2,"Selangor","Petaling","Kt Pju 1A Pprt A : Blok A,B,C",62,69,3.058406,101.636762
2015,2,"Selangor","Petaling","Ss 18/5, 6",10,69,3.058407,101.636765
2015,2,"Selangor","Petaling","Seksyen U16 ( Denai Alam Teres L: Jln U16/81 - U16/88)",29,68,3.058408,101.636767
2015,2,"Selangor","Petaling","Bl Pju 8 Apt Flora Damansara 1 ( Blok A, B )",14,68,3.058409,101.636769
2015,2,"Selangor","Petaling","Taman Lestari Putra 3",58,68,3.113117,101.815683
2015,2,"Selangor","Petaling","Taman Puncak Jalil 4A (Jin Puj 4/1-Puj 4/9 )",37,67,3.113118,101.815693
2015,2,"Selangor","Petaling","Taman Pinggiran Putra 16 (Putra Indah)",30,67,2.975147,101.783915
2015,2,"Perak","Kinta","Tmn Klebang Jaya 2",47,66,3.113117,101.815673
2015,2,"Selangor","Petaling","Seksyen 7 (Teres L: Jln 7/101-7/103)",15,66,3.048069,101.639553
2015,2,"Selangor","Petaling","Dun Bg Seksyen 51 A Flat Impian Baiduri",12,65,3.198303,101.599919
2015,2,"Selangor","Petaling","Seksyen 26 ( Pangsapuri Anggerik : Blok 1,2,3,)",24,63,3.052035,101.643996
2015,2,"Selangor","Petaling","Ss 15/5 (Teres)",41,63,3.128331,101.618127
2015,2,"Perak","Kinta","Tmn Kledang Jaya",25,61,3.074107,101.492219
2015,2,"Selangor","Petaling","Seksyen U5 ( Apartment Subang Suria)",21,59,3.074107,101.492219
2015,2,"Selangor","Petaling","Usj 15 (Court 10)",13,59,3.074107,101.492219
2015,2,"Perak","Kinta","Kg Merawan Lndah ",24,58,3.155076,101.593722
2015,2,"Perak","Kinta","Kg Baru Buntong",28,58,3.089795,101.647281
2015,2,"Perak","Kinta","Kg Tengku Hussein Baru",41,58,3.113117,101.815673
2015,2,"Perak","Kinta","Rpt Jelapang Baru",31,58,3.060047,101.584687
2015,2,"Selangor","Petaling","Seksyen U5 ( Mutiara Subang : Apartment )",16,58,3.188612,101.604747
2015,2,"Selangor","Petaling","Ss 17/1",16,58,3.13281,101.748025
2015,2,"Perak","Kinta","Bdr Pulai Jaya",14,57,3.114994,101.811318
2015,2,"Selangor","Petaling","Seksyen U12 ( Desa Alam Teres B : Jln U12/3-U12/8)",18,57,3.058404,101.636764
2015,2,"Perak","Kinta","Kg Baru Gunung Rapat",18,56,3.058405,101.636763
2015,2,"Selangor","Hulu Langat","Jalan 3/13-22 Seksyen 3 Bandar Baru Bangi",16,56,3.058406,101.636762
2015,2,"Perak","Kinta","Tmn Rapat Setia Baru",63,55,3.058407,101.636765
2015,2,"Selangor","Petaling","Taman Lestari Putra 1",12,55,3.058408,101.636767
2015,2,"Perak","Kinta","Kg Tersusun Sentang",13,54,3.058409,101.636769
2015,2,"Selangor","Hulu Langat","Kuis",13,54,3.113117,101.815683
2015,2,"Selangor","Petaling","Seksyen 7 (Pangsapuri Baiduri)",10,54,3.113118,101.815693
2015,2,"Selangor","Petaling","Bl Pju 6A Pelangi Utama Kondo",19,54,2.975147,101.783915
2015,2,"Selangor","Petaling","Tm Pjs 2B Flat Desa Mentari (Blok 9,10)",13,54,3.113117,101.815673
2015,2,"Selangor","Petaling","Taman Mutiara Lndah 2",16,54,3.048069,101.639553
2015,2,"Selangor","Gombak","Appt Casaria Bch",7,52,3.198303,101.599919
2015,2,"Selangor","Petaling","Seksyen 13 Teres C ( Jalan 13/19-13/25)",21,52,3.052035,101.643996
2015,2,"Perak","Kinta","Tmn Chepor Jaya",22,51,3.128331,101.618127
2015,2,"Selangor","K.Selangor","Sri Pristana A",16,51,3.074107,101.492219
2015,2,"Selangor","Petaling","Seksyen 20 Flat Pkns A (Blok 1-Blok 4)",18,51,3.074107,101.492219
2015,2,"Selangor","Petaling","Ss 15/2, 3 (Teres)",27,51,3.074107,101.492219
2015,2,"Selangor","Petaling","Sri Pjs 6 Flat Desa Mentari",8,51,3.155076,101.593722
2015,2,"Perak","Kinta","Tmn Merdeka",11,50,3.089795,101.647281
2015,2,"Selangor","Hulu
Selangor","Jalan Tulip",15,50,3.113117,101.815673
2015,2,"Selangor","Petaling","Ss 18/4",12,50,3.060047,101.584687
2015,2,"P. Pinang","Timur Laut","Jalan Lim Eow Thoon",12,49,3.188612,101.604747
2015,2,"P. Pinang","Timur Laut","Taman Free School",10,49,3.13281,101.748025
2015,2,"Perak","Kinta","Kg Sg Tapah Tambahan",26,48,3.114994,101.811318
2015,2,"Selangor","Petaling","Seksyen U2 (Pangsapuri Llham)",32,48,3.058404,101.636764
2015,2,"Selangor","Petaling","81 Pju 6A Kg Sg Kayu Ara 4
( Jln Masjid )",16,48,3.058405,101.636763
2015,2,"Selangor","Petaling","Taman Sri Serdang 3 (
18/30 - 18/44 & 18/46)",16,47,3.058406,101.636762
